t,S,B,M
29.280000,0.091067,0.147003,0.000522
29.328000,0.091177,0.146866,0.000521
29.376000,0.091289,0.146727,0.000520
29.424000,0.091404,0.146584,0.000518
29.472000,0.091523,0.146437,0.000517
29.520000,0.091644,0.146287,0.000515
29.568000,0.091768,0.146133,0.000514
29.616000,0.091896,0.145976,0.000512
29.664000,0.092026,0.145815,0.000510
29.712000,0.092160,0.145650,0.000509
29.760000,0.092298,0.145481,0.000507
29.808000,0.092439,0.145308,0.000505
29.856000,0.092583,0.145131,0.000504
29.904000,0.092731,0.144950,0.000502
29.952000,0.092883,0.144765,0.000500
30.000000,0.093039,0.144575,0.000498
30.048000,0.093199,0.144381,0.000496
30.096000,0.093362,0.144182,0.000494
30.144000,0.093530,0.143979,0.000492
30.192000,0.093703,0.143771,0.000490
30.240000,0.093879,0.143558,0.000488
30.288000,0.094060,0.143340,0.000486
30.336000,0.094246,0.143117,0.000484
30.384000,0.094436,0.142889,0.000482
30.432000,0.094631,0.142656,0.000480
30.480000,0.094831,0.142417,0.000477
30.528000,0.095036,0.142173,0.000475
30.576000,0.095246,0.141923,0.000473
30.624000,0.095462,0.141668,0.000470
30.672000,0.095683,0.141407,0.000468
30.720000,0.095910,0.141140,0.000465
30.768000,0.096142,0.140867,0.000463
30.816000,0.096380,0.140588,0.000460
30.864000,0.096624,0.140303,0.000458
30.912000,0.096874,0.140011,0.000455
30.960000,0.097131,0.139713,0.000452
31.008000,0.097394,0.139408,0.000450
31.056000,0.097664,0.139097,0.000447
31.104000,0.097940,0.138779,0.000444
31.152000,0.098224,0.138454,0.000441
31.200000,0.098514,0.138122,0.000438
31.248000,0.098812,0.137782,0.000435
31.296000,0.099117,0.137436,0.000432
31.344000,0.099430,0.137082,0.000429
31.392000,0.099750,0.136720,0.000426
31.440000,0.100079,0.136351,0.000423
31.488000,0.100416,0.135974,0.000420
31.536000,0.100761,0.135589,0.000416
31.584000,0.101115,0.135196,0.000413
31.632000,0.101477,0.134795,0.000410
31.680000,0.101849,0.134386,0.000406
31.728000,0.102230,0.133968,0.000403
31.776000,0.102620,0.133542,0.000399
31.824000,0.103020,0.133107,0.000396
31.872000,0.103430,0.132663,0.000392
31.920000,0.103850,0.132211,0.000389
31.968000,0.104280,0.131750,0.000385
32.016000,0.104721,0.131280,0.000381
32.064000,0.105173,0.130800,0.000378
32.112000,0.105636,0.130311,0.000374
32.160000,0.106110,0.129813,0.000370
32.208000,0.106596,0.129306,0.000366
32.256000,0.107094,0.128788,0.000362
32.304000,0.107604,0.128262,0.000358
32.352000,0.108127,0.127725,0.000354
32.400000,0.108662,0.127178,0.000350
32.448000,0.109210,0.126622,0.000346
32.496000,0.109771,0.126056,0.000342
32.544000,0.110346,0.125479,0.000338
32.592000,0.110935,0.124893,0.000334
32.640000,0.111539,0.124296,0.000330
32.688000,0.112156,0.123689,0.000325
32.736000,0.112789,0.123071,0.000321
32.784000,0.113436,0.122443,0.000317
32.832000,0.114099,0.121805,0.000312
32.880000,0.114778,0.121156,0.000308
32.928000,0.115473,0.120497,0.000304
32.976000,0.116185,0.119827,0.000299
33.024000,0.116913,0.119147,0.000295
33.072000,0.117659,0.118457,0.000291
33.120000,0.118422,0.117755,0.000286
33.168000,0.119203,0.117044,0.000282
33.216000,0.120002,0.116321,0.000277
33.264000,0.120819,0.115589,0.000273
33.312000,0.121656,0.114846,0.000268
33.360000,0.122512,0.114092,0.000264
33.408000,0.123387,0.113328,0.000259
