t,S,B,M
36.528000,0.000001,0.310449,0.950709
36.576000,0.000001,0.310449,0.950709
36.624000,0.000001,0.310449,0.950709
36.672000,0.000001,0.310449,0.950709
36.720000,0.000001,0.310449,0.950709
36.768000,0.000001,0.310449,0.950709
36.816000,0.000001,0.310449,0.950709
36.864000,0.000001,0.310449,0.950709
36.912000,0.000001,0.310449,0.950709
36.960000,0.000001,0.310449,0.950709
37.008000,0.000001,0.310449,0.950709
37.056000,0.000001,0.310449,0.950709
37.104000,0.000001,0.310449,0.950709
37.152000,0.000001,0.310449,0.950709
37.200000,0.000001,0.310449,0.950709
37.248000,0.000001,0.310449,0.950709
37.296000,0.000001,0.310449,0.950709
37.344000,0.000001,0.310449,0.950709
37.392000,0.000001,0.310449,0.950709
37.440000,0.000001,0.310449,0.950709
37.488000,0.000001,0.310449,0.950709
37.536000,0.000001,0.310449,0.950709
37.584000,0.000001,0.310449,0.950709
37.632000,0.000001,0.310449,0.950709
37.680000,0.000001,0.310449,0.950709
37.728000,0.000001,0.310449,0.950709
37.776000,0.000001,0.310449,0.950709
37.824000,0.000001,0.310449,0.950709
37.872000,0.000001,0.310449,0.950709
37.920000,0.000001,0.310449,0.950709
37.968000,0.000001,0.310449,0.950709
38.016000,0.000001,0.310449,0.950709
38.064000,0.000001,0.310449,0.950709
38.112000,0.000001,0.310449,0.950709
38.160000,0.000001,0.310449,0.950709
38.208000,0.000001,0.310449,0.950709
38.256000,0.000001,0.310449,0.950709
38.304000,0.000001,0.310449,0.950709
38.352000,0.000001,0.310449,0.950709
38.400000,0.000001,0.310449,0.950709
38.448000,0.000001,0.310449,0.950709
38.496000,0.000001,0.310449,0.950709
38.544000,0.000001,0.310449,0.950709
38.592000,0.000001,0.310449,0.950709
38.640000,0.000001,0.310449,0.950709
38.688000,0.000001,0.310449,0.950709
38.736000,0.000001,0.310449,0.950709
38.784000,0.000001,0.310449,0.950709
38.832000,0.000001,0.310449,0.950709
38.880000,0.000001,0.310449,0.950709
38.928000,0.000001,0.310449,0.950709
38.976000,0.000001,0.310449,0.950709
39.024000,0.000001,0.310449,0.950709
39.072000,0.000001,0.310449,0.950709
39.120000,0.000001,0.310449,0.950709
39.168000,0.000001,0.310449,0.950709
39.216000,0.000001,0.310449,0.950709
39.264000,0.000001,0.310448,0.950709
39.312000,0.000001,0.310448,0.950709
39.360000,0.000001,0.310449,0.950709
39.408000,0.000001,0.310449,0.950709
39.456000,0.000001,0.310449,0.950709
39.504000,0.000001,0.310449,0.950709
39.552000,0.000001,0.310449,0.950709
39.600000,0.000001,0.310449,0.950709
39.648000,0.000001,0.310449,0.950709
39.696000,0.000001,0.310449,0.950709
39.744000,0.000001,0.310449,0.950709
39.792000,0.000001,0.310449,0.950709
39.840000,0.000001,0.310449,0.950709
39.888000,0.000001,0.310449,0.950709
39.936000,0.000001,0.310449,0.950709
39.984000,0.000001,0.310449,0.950709
40.032000,0.000001,0.310449,0.950709
40.080000,0.000001,0.310449,0.950709
40.128000,0.000001,0.310449,0.950709
40.176000,0.000001,0.310449,0.950709
40.224000,0.000001,0.310449,0.950709
40.272000,0.000001,0.310449,0.950709
40.320000,0.000001,0.310449,0.950709
40.368000,0.000001,0.310449,0.950709
40.416000,0.000001,0.310449,0.950709
40.464000,0.000001,0.310449,0.950709
40.512000,0.000001,0.310449,0.950709
40.560000,0.000001,0.310449,0.950709
40.608000,0.000001,0.310449,0.950709
40.656000,0.000001,0.310449,0.950709
40.704000,0.000001,0.310449,0.950709
40.752000,0.000001,0.310449,0.950709
40.800000,0.000001,0.310449,0.950709
40.848000,0.000001,0.310449,0.950709
40.896000,0.000001,0.310449,0.950709
